file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,169,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,170,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,17
style.css,171,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,172,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,2,11
style.css,173,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,0
style.css,174,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,175,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,176,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,4
style.css,177,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,16
style.css,178,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,179,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,180,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,9
style.css,181,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,35
style.css,182,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
style.css,183,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,10
style.css,184,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,2,17
style.css,185,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,1,0
style.css,186,css,f3535272,Rocio,2026-05-01,15:19:04,-07:00,2026-05-01T15:19:04-07:00,0,0
index.js,1,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,71
index.js,2,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,54
index.js,3,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,42
index.js,4,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,60
index.js,5,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,54
index.js,6,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,0
index.js,7,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,56
index.js,8,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,60
index.js,9,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,0,17
index.js,10,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,2,24
index.js,11,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,5,2
index.js,12,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,6,55
index.js,13,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,6,55
index.js,14,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,6,49
index.js,15,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,6,49
index.js,16,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,5,3
index.js,17,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,3,0
index.js,18,js,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,1,0
index.html,1,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,0,13
index.html,2,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,0,14
index.html,3,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,0,4
index.html,4,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,2,20
index.html,5,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,2,68
